Region,County,First Dose,Series Complete,Report as of
Capital Region,Greene,24110,21574,06/15/2021
North Country,Hamilton,2982,2765,06/15/2021
Mohawk Valley,Herkimer,27838,25315,06/15/2021
North Country,Jefferson,48055,43193,06/15/2021
New York City,Kings,1219307,1080594,06/15/2021
North Country,Lewis,10829,9904,06/15/2021
Finger Lakes,Livingston,30839,28529,06/15/2021
Central New York,Madison,42055,38758,06/15/2021
Finger Lakes,Monroe,432912,402624,06/15/2021
Mohawk Valley,Montgomery,26293,23928,06/15/2021
Long Island,Nassau,864345,782093,06/15/2021
New York City,New York,1061983,965062,06/15/2021
Western New York,Niagara,111448,101431,06/15/2021
Mohawk Valley,Oneida,115045,105082,06/15/2021
Central New York,Onondaga,275232,254839,06/15/2021
Finger Lakes,Ontario,65107,60460,06/15/2021
Mid-Hudson,Orange,178638,158460,06/15/2021
Finger Lakes,Orleans,17679,16142,06/15/2021
Central New York,Oswego,59207,54749,06/15/2021
Mohawk Valley,Otsego,31205,29113,06/15/2021
Mid-Hudson,Putnam,59869,53325,06/15/2021
New York City,Queens,1370488,1210021,06/15/2021
Capital Region,Rensselaer,90646,84041,06/15/2021
New York City,Richmond,238865,214098,06/15/2021
Mid-Hudson,Rockland,160192,142896,06/15/2021
Capital Region,Saratoga,145287,134978,06/15/2021
Capital Region,Schenectady,101323,92719,06/15/2021
Mohawk Valley,Schoharie,14595,13667,06/15/2021
Southern Tier,Schuyler,8635,7933,06/15/2021
Finger Lakes,Seneca,14937,13708,06/15/2021
North Country,St. Lawrence,53208,49314,06/15/2021
Southern Tier,Steuben,40273,37308,06/15/2021
Long Island,Suffolk,847233,761017,06/15/2021
Mid-Hudson,Sullivan,35251,31772,06/15/2021
Southern Tier,Tioga,19778,18381,06/15/2021
Southern Tier,Tompkins,66576,62573,06/15/2021
Mid-Hudson,Ulster,109462,99956,06/15/2021
Capital Region,Warren,40863,38426,06/15/2021
Capital Region,Washington,31830,29548,06/15/2021
Finger Lakes,Wayne,47691,44094,06/15/2021
Mid-Hudson,Westchester,603367,545186,06/15/2021
Finger Lakes,Wyoming,17396,15991,06/15/2021
Finger Lakes,Yates,11162,10250,06/15/2021
Capital Region,Albany,190084,175157,06/16/2021
Western New York,Allegany,16691,15308,06/16/2021
New York City,Bronx,637189,552587,06/16/2021
Southern Tier,Broome,102945,96062,06/16/2021
Western New York,Cattaraugus,32001,29066,06/16/2021
Central New York,Cayuga,37695,34666,06/16/2021
Western New York,Chautauqua,59880,54344,06/16/2021
Southern Tier,Chemung,36278,33483,06/16/2021
Southern Tier,Chenango,23637,21690,06/16/2021
North Country,Clinton,46853,43619,06/16/2021
Capital Region,Columbia,34728,31825,06/16/2021
Central New York,Cortland,22735,21116,06/16/2021
Southern Tier,Delaware,20045,18533,06/16/2021
Mid-Hudson,Dutchess,165740,148228,06/16/2021
Western New York,Erie,523649,475448,06/16/2021
North Country,Essex,22083,20760,06/16/2021
North Country,Franklin,24245,22447,06/16/2021
Mohawk Valley,Fulton,22556,20578,06/16/2021
Finger Lakes,Genesee,27980,25750,06/16/2021
Capital Region,Greene,24148,21684,06/16/2021
North Country,Hamilton,2989,2779,06/16/2021
Mohawk Valley,Herkimer,27891,25431,06/16/2021
North Country,Jefferson,48184,43455,06/16/2021
New York City,Kings,1222886,1086698,06/16/2021
North Country,Lewis,10840,10003,06/16/2021
Finger Lakes,Livingston,30919,28715,06/16/2021
Central New York,Madison,42113,38944,06/16/2021
Finger Lakes,Monroe,433755,404503,06/16/2021
Mohawk Valley,Montgomery,26349,24043,06/16/2021
Long Island,Nassau,866550,785861,06/16/2021
New York City,New York,1064948,969027,06/16/2021
Western New York,Niagara,111817,102005,06/16/2021
Mohawk Valley,Oneida,115246,105702,06/16/2021
Central New York,Onondaga,275694,255947,06/16/2021
Finger Lakes,Ontario,65256,60988,06/16/2021
Mid-Hudson,Orange,179118,159401,06/16/2021
Finger Lakes,Orleans,17733,16260,06/16/2021
Central New York,Oswego,59327,55087,06/16/2021
Mohawk Valley,Otsego,31269,29175,06/16/2021
Mid-Hudson,Putnam,59990,53535,06/16/2021
New York City,Queens,1374886,1217241,06/16/2021
Capital Region,Rensselaer,90768,84278,06/16/2021
New York City,Richmond,239443,215166,06/16/2021
Mid-Hudson,Rockland,160742,143659,06/16/2021
Capital Region,Saratoga,145499,135479,06/16/2021
Capital Region,Schenectady,101502,93080,06/16/2021
Mohawk Valley,Schoharie,14621,13710,06/16/2021
Southern Tier,Schuyler,8647,7988,06/16/2021
Finger Lakes,Seneca,14963,13772,06/16/2021
North Country,St. Lawrence,53322,49635,06/16/2021
Southern Tier,Steuben,40361,37482,06/16/2021
Long Island,Suffolk,849469,765021,06/16/2021
Mid-Hudson,Sullivan,35329,31863,06/16/2021
Southern Tier,Tioga,19822,18463,06/16/2021
Southern Tier,Tompkins,66650,62735,06/16/2021
Mid-Hudson,Ulster,109665,100255,06/16/2021
Capital Region,Warren,40923,38532,06/16/2021
Capital Region,Washington,31888,29657,06/16/2021
Finger Lakes,Wayne,47768,44314,06/16/2021
Mid-Hudson,Westchester,604876,547679,06/16/2021
Finger Lakes,Wyoming,17422,16062,06/16/2021
Finger Lakes,Yates,11184,10368,06/16/2021
Capital Region,Albany,190421,175662,06/17/2021
Western New York,Allegany,16735,15511,06/17/2021
New York City,Bronx,639932,556911,06/17/2021
Southern Tier,Broome,103175,96475,06/17/2021
Western New York,Cattaraugus,32080,29159,06/17/2021
Central New York,Cayuga,37759,34816,06/17/2021
Western New York,Chautauqua,59981,54601,06/17/2021
Southern Tier,Chemung,36394,33759,06/17/2021
Southern Tier,Chenango,23701,21877,06/17/2021
North Country,Clinton,46942,43799,06/17/2021
Capital Region,Columbia,34803,31941,06/17/2021
Central New York,Cortland,22783,21253,06/17/2021
Southern Tier,Delaware,20120,18627,06/17/2021
Mid-Hudson,Dutchess,166166,148810,06/17/2021
Western New York,Erie,524667,478194,06/17/2021
North Country,Essex,22116,20835,06/17/2021
North Country,Franklin,24280,22576,06/17/2021
Mohawk Valley,Fulton,22612,20702,06/17/2021
Finger Lakes,Genesee,28035,25873,06/17/2021
Capital Region,Greene,24197,21891,06/17/2021
North Country,Hamilton,3003,2788,06/17/2021
Mohawk Valley,Herkimer,27965,25571,06/17/2021
North Country,Jefferson,48308,43713,06/17/2021
New York City,Kings,1226713,1093802,06/17/2021
North Country,Lewis,10851,10131,06/17/2021
Finger Lakes,Livingston,30992,28863,06/17/2021
Central New York,Madison,42199,39203,06/17/2021
Finger Lakes,Monroe,434736,406296,06/17/2021
Mohawk Valley,Montgomery,26413,24174,06/17/2021
Long Island,Nassau,868599,789588,06/17/2021
New York City,New York,1068226,973245,06/17/2021
Western New York,Niagara,112097,102765,06/17/2021
Mohawk Valley,Oneida,115501,106240,06/17/2021
Central New York,Onondaga,276286,257310,06/17/2021
Finger Lakes,Ontario,65371,61269,06/17/2021
Mid-Hudson,Orange,179609,160326,06/17/2021
Finger Lakes,Orleans,17781,16361,06/17/2021
Central New York,Oswego,59459,55419,06/17/2021
Mohawk Valley,Otsego,31335,29341,06/17/2021
Mid-Hudson,Putnam,60117,53716,06/17/2021
New York City,Queens,1379714,1224847,06/17/2021
Capital Region,Rensselaer,90980,84607,06/17/2021
New York City,Richmond,240247,216416,06/17/2021
Mid-Hudson,Rockland,161113,144295,06/17/2021
Capital Region,Saratoga,145711,135982,06/17/2021
Capital Region,Schenectady,101695,93569,06/17/2021
Mohawk Valley,Schoharie,14668,13767,06/17/2021
Southern Tier,Schuyler,8660,8046,06/17/2021
Finger Lakes,Seneca,15009,13882,06/17/2021
North Country,St. Lawrence,53477,49978,06/17/2021
Southern Tier,Steuben,40572,37731,06/17/2021
Long Island,Suffolk,852697,768537,06/17/2021
Mid-Hudson,Sullivan,35446,32020,06/17/2021
Southern Tier,Tioga,19863,18549,06/17/2021
Southern Tier,Tompkins,66762,62877,06/17/2021
Mid-Hudson,Ulster,110143,100552,06/17/2021
Capital Region,Warren,41016,38665,06/17/2021
Capital Region,Washington,31953,29817,06/17/2021
Finger Lakes,Wayne,47932,44572,06/17/2021
Mid-Hudson,Westchester,606318,549806,06/17/2021
Finger Lakes,Wyoming,17463,16130,06/17/2021
Finger Lakes,Yates,11208,10430,06/17/2021
Capital Region,Albany,190711,176130,06/18/2021
Western New York,Allegany,16764,15568,06/18/2021
New York City,Bronx,642286,560087,06/18/2021
Southern Tier,Broome,103311,96787,06/18/2021
Western New York,Cattaraugus,32131,29358,06/18/2021
Central New York,Cayuga,37806,34942,06/18/2021
Western New York,Chautauqua,60086,54824,06/18/2021
Southern Tier,Chemung,36463,34089,06/18/2021
Southern Tier,Chenango,23733,21940,06/18/2021
North Country,Clinton,47011,43925,06/18/2021
Capital Region,Columbia,34871,32014,06/18/2021
Central New York,Cortland,22797,21296,06/18/2021
Southern Tier,Delaware,20156,18666,06/18/2021
Mid-Hudson,Dutchess,166499,149395,06/18/2021
Western New York,Erie,525514,479943,06/18/2021
North Country,Essex,22140,20914,06/18/2021
North Country,Franklin,24306,22659,06/18/2021
Mohawk Valley,Fulton,22653,20771,06/18/2021
Finger Lakes,Genesee,28101,25977,06/18/2021
Capital Region,Greene,24241,22015,06/18/2021
North Country,Hamilton,3003,2789,06/18/2021
Mohawk Valley,Herkimer,28016,25662,06/18/2021
North Country,Jefferson,48406,44030,06/18/2021
New York City,Kings,1229479,1098209,06/18/2021
North Country,Lewis,10901,10284,06/18/2021
Finger Lakes,Livingston,31046,28934,06/18/2021
Central New York,Madison,42241,39305,06/18/2021
Finger Lakes,Monroe,435306,407298,06/18/2021
Mohawk Valley,Montgomery,26456,24223,06/18/2021
Long Island,Nassau,870339,792731,06/18/2021
New York City,New York,1070799,976431,06/18/2021
Western New York,Niagara,112260,103121,06/18/2021
Mohawk Valley,Oneida,115668,106551,06/18/2021
Central New York,Onondaga,276541,258006,06/18/2021
Finger Lakes,Ontario,65448,61419,06/18/2021
Mid-Hudson,Orange,180188,161322,06/18/2021
Finger Lakes,Orleans,17798,16406,06/18/2021
Central New York,Oswego,59549,55586,06/18/2021
Mohawk Valley,Otsego,31383,29395,06/18/2021
Mid-Hudson,Putnam,60235,53972,06/18/2021
New York City,Queens,1383301,1230400,06/18/2021
Capital Region,Rensselaer,91096,84850,06/18/2021
New York City,Richmond,240728,217313,06/18/2021
Mid-Hudson,Rockland,161423,144815,06/18/2021
Capital Region,Saratoga,145895,136509,06/18/2021
Capital Region,Schenectady,101835,93796,06/18/2021
Mohawk Valley,Schoharie,14688,13823,06/18/2021
Southern Tier,Schuyler,8683,8084,06/18/2021
Finger Lakes,Seneca,15021,13932,06/18/2021
North Country,St. Lawrence,53557,50132,06/18/2021
Southern Tier,Steuben,40657,37847,06/18/2021
Long Island,Suffolk,855881,772863,06/18/2021
Mid-Hudson,Sullivan,35551,32173,06/18/2021
Southern Tier,Tioga,19894,18615,06/18/2021
Southern Tier,Tompkins,66834,63010,06/18/2021
Mid-Hudson,Ulster,110470,100959,06/18/2021
Capital Region,Warren,41076,38772,06/18/2021
Capital Region,Washington,32001,29895,06/18/2021
Finger Lakes,Wayne,47983,44706,06/18/2021
Mid-Hudson,Westchester,607576,551903,06/18/2021
Finger Lakes,Wyoming,17503,16191,06/18/2021
Finger Lakes,Yates,11235,10462,06/18/2021
Capital Region,Albany,190915,176618,06/19/2021
Western New York,Allegany,16785,15610,06/19/2021
New York City,Bronx,644291,563147,06/19/2021
Southern Tier,Broome,103656,97231,06/19/2021
Western New York,Cattaraugus,32171,29464,06/19/2021
Central New York,Cayuga,37881,35075,06/19/2021
Western New York,Chautauqua,60181,54987,06/19/2021
Southern Tier,Chemung,36507,34198,06/19/2021
Southern Tier,Chenango,23769,22021,06/19/2021
North Country,Clinton,47057,44070,06/19/2021
Capital Region,Columbia,34939,32133,06/19/2021
Central New York,Cortland,22825,21386,06/19/2021
Southern Tier,Delaware,20197,18751,06/19/2021
Mid-Hudson,Dutchess,166717,149885,06/19/2021
Western New York,Erie,526374,481717,06/19/2021
North Country,Essex,22151,20968,06/19/2021
North Country,Franklin,24331,22755,06/19/2021
Mohawk Valley,Fulton,22694,20927,06/19/2021
Finger Lakes,Genesee,28157,26070,06/19/2021
Capital Region,Greene,24281,22076,06/19/2021
North Country,Hamilton,3003,2795,06/19/2021
Mohawk Valley,Herkimer,28071,25794,06/19/2021
North Country,Jefferson,48470,44437,06/19/2021
New York City,Kings,1233178,1104055,06/19/2021
North Country,Lewis,10913,10315,06/19/2021
Finger Lakes,Livingston,31095,29081,06/19/2021
Central New York,Madison,42298,39463,06/19/2021
Finger Lakes,Monroe,435953,408656,06/19/2021
Mohawk Valley,Montgomery,26498,24333,06/19/2021
Long Island,Nassau,872106,796418,06/19/2021
New York City,New York,1073420,979664,06/19/2021
Western New York,Niagara,112479,103510,06/19/2021
Mohawk Valley,Oneida,115860,106857,06/19/2021
Central New York,Onondaga,276988,258833,06/19/2021
Finger Lakes,Ontario,65541,61673,06/19/2021
Mid-Hudson,Orange,180697,162145,06/19/2021
Finger Lakes,Orleans,17841,16476,06/19/2021
Central New York,Oswego,59672,55879,06/19/2021
Mohawk Valley,Otsego,31431,29482,06/19/2021
Mid-Hudson,Putnam,60297,54083,06/19/2021
New York City,Queens,1388268,1237988,06/19/2021
Capital Region,Rensselaer,91215,85140,06/19/2021
New York City,Richmond,241281,218361,06/19/2021
Mid-Hudson,Rockland,161827,145621,06/19/2021
Capital Region,Saratoga,146033,136895,06/19/2021
Capital Region,Schenectady,101968,94113,06/19/2021
Mohawk Valley,Schoharie,14711,13884,06/19/2021
Southern Tier,Schuyler,8686,8113,06/19/2021
Finger Lakes,Seneca,15044,13990,06/19/2021
North Country,St. Lawrence,53622,50279,06/19/2021
Southern Tier,Steuben,40715,38025,06/19/2021
Long Island,Suffolk,857525,776113,06/19/2021
Mid-Hudson,Sullivan,35640,32267,06/19/2021
Southern Tier,Tioga,19932,18688,06/19/2021
Southern Tier,Tompkins,66908,63109,06/19/2021
Mid-Hudson,Ulster,110627,101269,06/19/2021
Capital Region,Warren,41130,38863,06/19/2021
Capital Region,Washington,32046,30019,06/19/2021
Finger Lakes,Wayne,48088,44954,06/19/2021
Mid-Hudson,Westchester,608404,553690,06/19/2021
Finger Lakes,Wyoming,17531,16249,06/19/2021
Finger Lakes,Yates,11244,10491,06/19/2021
Capital Region,Albany,191009,176834,06/20/2021
Western New York,Allegany,16800,15637,06/20/2021
New York City,Bronx,645622,565029,06/20/2021
Southern Tier,Broome,103706,97360,06/20/2021
Western New York,Cattaraugus,32190,29536,06/20/2021
Central New York,Cayuga,37914,35140,06/20/2021
Western New York,Chautauqua,60243,55071,06/20/2021
Southern Tier,Chemung,36533,34268,06/20/2021
Southern Tier,Chenango,23783,22050,06/20/2021
North Country,Clinton,47073,44139,06/20/2021
Capital Region,Columbia,34959,32174,06/20/2021
Central New York,Cortland,22836,21421,06/20/2021
Southern Tier,Delaware,20212,18786,06/20/2021
Mid-Hudson,Dutchess,166815,150137,06/20/2021
Western New York,Erie,526884,482780,06/20/2021
North Country,Essex,22156,20984,06/20/2021
North Country,Franklin,24344,22801,06/20/2021
Mohawk Valley,Fulton,22707,20975,06/20/2021
Finger Lakes,Genesee,28185,26134,06/20/2021
Capital Region,Greene,24298,22108,06/20/2021
North Country,Hamilton,3005,2796,06/20/2021
Mohawk Valley,Herkimer,28090,25853,06/20/2021
North Country,Jefferson,48501,44565,06/20/2021
New York City,Kings,1235066,1106987,06/20/2021
North Country,Lewis,10917,10327,06/20/2021
Finger Lakes,Livingston,31124,29140,06/20/2021
Central New York,Madison,42327,39535,06/20/2021
Finger Lakes,Monroe,436316,409345,06/20/2021
Mohawk Valley,Montgomery,26514,24378,06/20/2021
Long Island,Nassau,872902,798235,06/20/2021
New York City,New York,1075368,981768,06/20/2021
Western New York,Niagara,112595,103714,06/20/2021
Mohawk Valley,Oneida,115921,107029,06/20/2021
Central New York,Onondaga,277193,259172,06/20/2021
Finger Lakes,Ontario,65595,61798,06/20/2021
Mid-Hudson,Orange,180930,162585,06/20/2021
Finger Lakes,Orleans,17861,16517,06/20/2021
Central New York,Oswego,59710,55959,06/20/2021
Mohawk Valley,Otsego,31449,29511,06/20/2021
Mid-Hudson,Putnam,60350,54181,06/20/2021
New York City,Queens,1390432,1241558,06/20/2021
Capital Region,Rensselaer,91283,85264,06/20/2021
New York City,Richmond,241620,218889,06/20/2021
Mid-Hudson,Rockland,161980,145896,06/20/2021
Capital Region,Saratoga,146113,137066,06/20/2021
Capital Region,Schenectady,102032,94262,06/20/2021
Mohawk Valley,Schoharie,14721,13912,06/20/2021
Southern Tier,Schuyler,8692,8128,06/20/2021
Finger Lakes,Seneca,15058,14023,06/20/2021
North Country,St. Lawrence,53652,50345,06/20/2021
Southern Tier,Steuben,40752,38102,06/20/2021
Long Island,Suffolk,858505,778310,06/20/2021
Mid-Hudson,Sullivan,35671,32301,06/20/2021
Southern Tier,Tioga,19941,18723,06/20/2021
Southern Tier,Tompkins,66935,63159,06/20/2021
Mid-Hudson,Ulster,110696,101383,06/20/2021
Capital Region,Warren,41148,38905,06/20/2021
Capital Region,Washington,32058,30072,06/20/2021
Finger Lakes,Wayne,48128,45047,06/20/2021
Mid-Hudson,Westchester,608875,554869,06/20/2021
Finger Lakes,Wyoming,17540,16281,06/20/2021
Finger Lakes,Yates,11251,10514,06/20/2021
Capital Region,Albany,191202,177140,06/21/2021
Western New York,Allegany,16827,15679,06/21/2021
New York City,Bronx,647532,567134,06/21/2021
Southern Tier,Broome,103797,97536,06/21/2021
Western New York,Cattaraugus,32226,29580,06/21/2021
Central New York,Cayuga,37967,35190,06/21/2021
Western New York,Chautauqua,60272,55140,06/21/2021
Southern Tier,Chemung,36568,34292,06/21/2021
Southern Tier,Chenango,23814,22107,06/21/2021
North Country,Clinton,47116,44256,06/21/2021
Capital Region,Columbia,35006,32230,06/21/2021
Central New York,Cortland,22856,21454,06/21/2021
Southern Tier,Delaware,20218,18810,06/21/2021
Mid-Hudson,Dutchess,167059,150453,06/21/2021
Western New York,Erie,527334,483412,06/21/2021
North Country,Essex,22183,21007,06/21/2021
North Country,Franklin,24367,22828,06/21/2021
Mohawk Valley,Fulton,22736,21017,06/21/2021
Finger Lakes,Genesee,28200,26171,06/21/2021
Capital Region,Greene,24344,22161,06/21/2021
North Country,Hamilton,3007,2808,06/21/2021
Mohawk Valley,Herkimer,28135,25903,06/21/2021
North Country,Jefferson,48566,44700,06/21/2021
New York City,Kings,1237848,1110588,06/21/2021
North Country,Lewis,10949,10362,06/21/2021
Finger Lakes,Livingston,31137,29169,06/21/2021
Central New York,Madison,42371,39586,06/21/2021
Finger Lakes,Monroe,436691,409970,06/21/2021
Mohawk Valley,Montgomery,26540,24425,06/21/2021
Long Island,Nassau,874249,800085,06/21/2021
New York City,New York,1077233,983880,06/21/2021
Western New York,Niagara,112665,103830,06/21/2021
Mohawk Valley,Oneida,116059,107277,06/21/2021
Central New York,Onondaga,277418,259600,06/21/2021
Finger Lakes,Ontario,65669,61881,06/21/2021
Mid-Hudson,Orange,181202,163101,06/21/2021
Finger Lakes,Orleans,17875,16546,06/21/2021
Central New York,Oswego,59790,56085,06/21/2021
Mohawk Valley,Otsego,31479,29560,06/21/2021
Mid-Hudson,Putnam,60430,54275,06/21/2021
New York City,Queens,1393769,1245869,06/21/2021
Capital Region,Rensselaer,91402,85383,06/21/2021
New York City,Richmond,242018,219369,06/21/2021
Mid-Hudson,Rockland,162223,146341,06/21/2021
Capital Region,Saratoga,146234,137298,06/21/2021
Capital Region,Schenectady,102195,94532,06/21/2021
Mohawk Valley,Schoharie,14730,13942,06/21/2021
Southern Tier,Schuyler,8706,8142,06/21/2021
Finger Lakes,Seneca,15074,14056,06/21/2021
North Country,St. Lawrence,53708,50427,06/21/2021
Southern Tier,Steuben,40812,38173,06/21/2021
Long Island,Suffolk,860079,781185,06/21/2021
Mid-Hudson,Sullivan,35791,32416,06/21/2021
Southern Tier,Tioga,19956,18748,06/21/2021
Southern Tier,Tompkins,66970,63215,06/21/2021
Mid-Hudson,Ulster,110804,101658,06/21/2021
Capital Region,Warren,41199,38960,06/21/2021
Capital Region,Washington,32084,30127,06/21/2021
Finger Lakes,Wayne,48157,45123,06/21/2021
Mid-Hudson,Westchester,609862,556140,06/21/2021
Finger Lakes,Wyoming,17566,16300,06/21/2021
Finger Lakes,Yates,11260,10525,06/21/2021
Capital Region,Albany,191451,177635,06/22/2021
Western New York,Allegany,16857,15735,06/22/2021
New York City,Bronx,649723,570069,06/22/2021
Southern Tier,Broome,103924,97708,06/22/2021
Western New York,Cattaraugus,32260,29640,06/22/2021
Central New York,Cayuga,38023,35259,06/22/2021
Western New York,Chautauqua,60370,55296,06/22/2021
Southern Tier,Chemung,36598,34311,06/22/2021
Southern Tier,Chenango,23893,22149,06/22/2021
North Country,Clinton,47170,44374,06/22/2021
Capital Region,Columbia,35066,32309,06/22/2021
Central New York,Cortland,22890,21514,06/22/2021
Southern Tier,Delaware,20273,18850,06/22/2021
Mid-Hudson,Dutchess,167292,150823,06/22/2021
Western New York,Erie,528004,484455,06/22/2021
North Country,Essex,22202,21034,06/22/2021
North Country,Franklin,24393,22877,06/22/2021
Mohawk Valley,Fulton,22752,21053,06/22/2021
Finger Lakes,Genesee,28219,26199,06/22/2021
Capital Region,Greene,24373,22210,06/22/2021
North Country,Hamilton,3014,2816,06/22/2021
Mohawk Valley,Herkimer,28174,25975,06/22/2021
North Country,Jefferson,48677,44884,06/22/2021
New York City,Kings,1240954,1114268,06/22/2021
North Country,Lewis,10976,10409,06/22/2021
Finger Lakes,Livingston,31200,29255,06/22/2021
Central New York,Madison,42437,39670,06/22/2021
Finger Lakes,Monroe,437292,410793,06/22/2021
Mohawk Valley,Montgomery,26578,24469,06/22/2021
Long Island,Nassau,876110,802013,06/22/2021
New York City,New York,1079726,986318,06/22/2021
Western New York,Niagara,112786,104132,06/22/2021
Mohawk Valley,Oneida,116254,107515,06/22/2021
Central New York,Onondaga,277889,260038,06/22/2021
Finger Lakes,Ontario,65738,61980,06/22/2021
Mid-Hudson,Orange,181602,163641,06/22/2021
Finger Lakes,Orleans,17898,16572,06/22/2021
Central New York,Oswego,59915,56256,06/22/2021
Mohawk Valley,Otsego,31519,29598,06/22/2021
Mid-Hudson,Putnam,60588,54504,06/22/2021
New York City,Queens,1397609,1250398,06/22/2021
Capital Region,Rensselaer,91538,85511,06/22/2021
New York City,Richmond,242479,219936,06/22/2021
Mid-Hudson,Rockland,162568,146624,06/22/2021
Capital Region,Saratoga,146396,137513,06/22/2021
Capital Region,Schenectady,102383,94741,06/22/2021
Mohawk Valley,Schoharie,14762,13962,06/22/2021
Southern Tier,Schuyler,8721,8159,06/22/2021
Finger Lakes,Seneca,15093,14092,06/22/2021
North Country,St. Lawrence,53784,50578,06/22/2021
Southern Tier,Steuben,40877,38251,06/22/2021
Long Island,Suffolk,861930,784051,06/22/2021
Mid-Hudson,Sullivan,35846,32503,06/22/2021
Southern Tier,Tioga,19974,18774,06/22/2021
Southern Tier,Tompkins,67058,63298,06/22/2021
Mid-Hudson,Ulster,110941,101893,06/22/2021
Capital Region,Warren,41270,39032,06/22/2021
Capital Region,Washington,32125,30189,06/22/2021
Finger Lakes,Wayne,48245,45232,06/22/2021
Mid-Hudson,Westchester,611073,557476,06/22/2021
Finger Lakes,Wyoming,17600,16330,06/22/2021
Finger Lakes,Yates,11279,10540,06/22/2021
Capital Region,Albany,191729,178005,06/23/2021
Western New York,Allegany,16884,15812,06/23/2021
New York City,Bronx,652019,573551,06/23/2021
Southern Tier,Broome,104090,97970,06/23/2021
Western New York,Cattaraugus,32319,29817,06/23/2021
Central New York,Cayuga,38110,35381,06/23/2021
Western New York,Chautauqua,60469,55609,06/23/2021
Southern Tier,Chemung,36699,34430,06/23/2021
Southern Tier,Chenango,23933,22403,06/23/2021
North Country,Clinton,47227,44460,06/23/2021
Capital Region,Columbia,35111,32480,06/23/2021
Central New York,Cortland,22938,21582,06/23/2021
Southern Tier,Delaware,20321,18930,06/23/2021
Mid-Hudson,Dutchess,167575,151228,06/23/2021
Western New York,Erie,529010,486220,06/23/2021
North Country,Essex,22233,21085,06/23/2021
North Country,Franklin,24431,22917,06/23/2021
Mohawk Valley,Fulton,22783,21119,06/23/2021
Finger Lakes,Genesee,28260,26273,06/23/2021
Capital Region,Greene,24406,22243,06/23/2021
North Country,Hamilton,3021,2829,06/23/2021
Mohawk Valley,Herkimer,28215,26068,06/23/2021
North Country,Jefferson,48747,45140,06/23/2021
New York City,Kings,1244663,1119339,06/23/2021
North Country,Lewis,10982,10424,06/23/2021
Finger Lakes,Livingston,31244,29328,06/23/2021
Central New York,Madison,42512,39781,06/23/2021
Finger Lakes,Monroe,437921,411930,06/23/2021
Mohawk Valley,Montgomery,26612,24567,06/23/2021
Long Island,Nassau,877990,804688,06/23/2021
New York City,New York,1082207,989390,06/23/2021
Western New York,Niagara,113012,104434,06/23/2021
Mohawk Valley,Oneida,116448,107974,06/23/2021
Central New York,Onondaga,278361,260619,06/23/2021
Finger Lakes,Ontario,65820,62155,06/23/2021
Mid-Hudson,Orange,182044,164223,06/23/2021
Finger Lakes,Orleans,17924,16622,06/23/2021
Central New York,Oswego,60017,56383,06/23/2021
Mohawk Valley,Otsego,31574,29709,06/23/2021
Mid-Hudson,Putnam,60711,54735,06/23/2021
New York City,Queens,1401612,1256057,06/23/2021
Capital Region,Rensselaer,91647,85701,06/23/2021
New York City,Richmond,243024,220759,06/23/2021
Mid-Hudson,Rockland,162905,147100,06/23/2021
Capital Region,Saratoga,146517,137742,06/23/2021
Capital Region,Schenectady,102539,94966,06/23/2021
Mohawk Valley,Schoharie,14786,13994,06/23/2021
Southern Tier,Schuyler,8731,8184,06/23/2021
Finger Lakes,Seneca,15113,14139,06/23/2021
North Country,St. Lawrence,53869,50850,06/23/2021
Southern Tier,Steuben,40960,38371,06/23/2021
Long Island,Suffolk,863700,786655,06/23/2021
Mid-Hudson,Sullivan,35957,32642,06/23/2021
Southern Tier,Tioga,20005,18815,06/23/2021
Southern Tier,Tompkins,67126,63413,06/23/2021
Mid-Hudson,Ulster,111091,102099,06/23/2021
Capital Region,Warren,41308,39104,06/23/2021
Capital Region,Washington,32173,30261,06/23/2021
Finger Lakes,Wayne,48325,45369,06/23/2021
Mid-Hudson,Westchester,612449,559140,06/23/2021
Finger Lakes,Wyoming,17636,16394,06/23/2021
Finger Lakes,Yates,11285,10595,06/23/2021
Capital Region,Albany,192074,178335,06/24/2021
Western New York,Allegany,16925,15881,06/24/2021
New York City,Bronx,654627,577165,06/24/2021
Southern Tier,Broome,104273,98204,06/24/2021
Western New York,Cattaraugus,32372,29930,06/24/2021
Central New York,Cayuga,38248,35614,06/24/2021
Western New York,Chautauqua,60573,55725,06/24/2021
Southern Tier,Chemung,36786,34519,06/24/2021
Southern Tier,Chenango,23986,22443,06/24/2021
North Country,Clinton,47298,44657,06/24/2021
Capital Region,Columbia,35190,32581,06/24/2021
Central New York,Cortland,22960,21618,06/24/2021
Southern Tier,Delaware,20368,18999,06/24/2021
Mid-Hudson,Dutchess,167903,151657,06/24/2021
Western New York,Erie,530202,487650,06/24/2021
North Country,Essex,22259,21123,06/24/2021
North Country,Franklin,24471,22975,06/24/2021
Mohawk Valley,Fulton,22845,21206,06/24/2021
Finger Lakes,Genesee,28312,26359,06/24/2021
Capital Region,Greene,24480,22282,06/24/2021
North Country,Hamilton,3032,2835,06/24/2021
Mohawk Valley,Herkimer,28267,26138,06/24/2021
North Country,Jefferson,48859,45339,06/24/2021
New York City,Kings,1248497,1124851,06/24/2021
North Country,Lewis,11000,10466,06/24/2021
Finger Lakes,Livingston,31270,29455,06/24/2021
