Region,County,First Dose,Series Complete,Report as of
Mid-Hudson,Sullivan,5422,2035,02/05/2021
Southern Tier,Tioga,3352,1154,02/05/2021
Southern Tier,Tompkins,9227,3146,02/05/2021
Mid-Hudson,Ulster,14925,4879,02/05/2021
Capital Region,Warren,6817,2594,02/05/2021
Capital Region,Washington,4495,1637,02/05/2021
Finger Lakes,Wayne,7615,2403,02/05/2021
Mid-Hudson,Westchester,98649,35178,02/05/2021
Finger Lakes,Wyoming,3362,1295,02/05/2021
Finger Lakes,Yates,2136,643,02/05/2021
Capital Region,Albany,32742,13816,02/06/2021
Western New York,Allegany,2656,1043,02/06/2021
New York City,Bronx,76981,24545,02/06/2021
Southern Tier,Broome,22327,7427,02/06/2021
Western New York,Cattaraugus,5503,2157,02/06/2021
Central New York,Cayuga,8212,2609,02/06/2021
Western New York,Chautauqua,10404,3497,02/06/2021
Southern Tier,Chemung,7956,2851,02/06/2021
Southern Tier,Chenango,3879,1313,02/06/2021
North Country,Clinton,12370,3494,02/06/2021
Capital Region,Columbia,5657,1776,02/06/2021
Central New York,Cortland,4088,1417,02/06/2021
Southern Tier,Delaware,2874,957,02/06/2021
Mid-Hudson,Dutchess,21898,8495,02/06/2021
Western New York,Erie,95989,33971,02/06/2021
North Country,Essex,5218,1418,02/06/2021
North Country,Franklin,6704,2300,02/06/2021
Mohawk Valley,Fulton,4487,1801,02/06/2021
Finger Lakes,Genesee,5433,1505,02/06/2021
Capital Region,Greene,3978,1081,02/06/2021
North Country,Hamilton,1379,189,02/06/2021
Mohawk Valley,Herkimer,6905,1957,02/06/2021
North Country,Jefferson,11339,4046,02/06/2021
New York City,Kings,143600,37610,02/06/2021
North Country,Lewis,2953,927,02/06/2021
Finger Lakes,Livingston,6868,2428,02/06/2021
Central New York,Madison,7433,2863,02/06/2021
Finger Lakes,Monroe,76569,29690,02/06/2021
Mohawk Valley,Montgomery,4965,2081,02/06/2021
Long Island,Nassau,156902,53193,02/06/2021
New York City,New York,176222,53892,02/06/2021
Western New York,Niagara,20219,6726,02/06/2021
Mohawk Valley,Oneida,27289,9792,02/06/2021
Central New York,Onondaga,58819,17742,02/06/2021
Finger Lakes,Ontario,12274,4338,02/06/2021
Mid-Hudson,Orange,21938,9226,02/06/2021
Finger Lakes,Orleans,2731,868,02/06/2021
Central New York,Oswego,12026,3127,02/06/2021
Mohawk Valley,Otsego,6619,2969,02/06/2021
Mid-Hudson,Putnam,8491,3047,02/06/2021
New York City,Queens,162419,44189,02/06/2021
Capital Region,Rensselaer,17073,5954,02/06/2021
New York City,Richmond,46893,11180,02/06/2021
Mid-Hudson,Rockland,29847,9217,02/06/2021
Capital Region,Saratoga,25019,9857,02/06/2021
Capital Region,Schenectady,15496,6291,02/06/2021
Mohawk Valley,Schoharie,2190,695,02/06/2021
Southern Tier,Schuyler,1829,723,02/06/2021
Finger Lakes,Seneca,3160,733,02/06/2021
North Country,St. Lawrence,16839,5141,02/06/2021
Southern Tier,Steuben,6849,2238,02/06/2021
Long Island,Suffolk,130783,51007,02/06/2021
Mid-Hudson,Sullivan,5555,2178,02/06/2021
Southern Tier,Tioga,3399,1249,02/06/2021
Southern Tier,Tompkins,9382,3266,02/06/2021
Mid-Hudson,Ulster,15132,5159,02/06/2021
Capital Region,Warren,7187,2820,02/06/2021
Capital Region,Washington,4726,1761,02/06/2021
Finger Lakes,Wayne,8006,2643,02/06/2021
